id,timestamp,montant,canal,statut,code_reponse,id_client,num_tel,ip_source,pays,duree_session_ms,empreinte_appareil,geolocalisation,code_marchand
be2bd752-c3ba-4929-b46c-e1d40c2a9b28,2026-06-25 11:34:20,79672.0,mobile,ok,0,48796,229 01 29 12 50 28,92.242.148.64,BJ,43111,device_9304,"{'lat': 10.8206, 'lon': 2.9526}",4679.0
33fcb31d-c02f-4ab5-b574-a53be4f46669,2026-06-25 06:06:53,49896.0,en ligne,ok,0,75726,00229 01 20 24 23 85,248.176.158.15,BJ,55140,device_5551,"{'lat': 11.8781, 'lon': 3.6771000000000003}",
58999b7a-0908-45d9-8b0c-077865e876fa,2026-06-21 23:20:23,8805.0,en ligne,ok,0,79794,229 01 24 48 87 82,95.249.95.83,BJ,58460,device_6594,"{'lat': 9.0196, 'lon': 1.0008}",
d8388c0e-3d0a-48ec-bb7e-48f66a53c261,2026-06-18 13:33:45,37164.0,mobile,refusé,5,26294,229 01 60 23 56 68,165.169.106.236,BJ,24307,device_7638,"{'lat': 6.2915, 'lon': 3.442}",
2584284c-b563-494e-a8ef-8a730cd7f49d,2026-06-23 09:35:39,80431.0,agence,ok,0,67476,+229 01 24 31 30 67,105.201.161.117,BJ,52807,device_9239,"{'lat': 8.4793, 'lon': 3.6602}",
159d3482-160c-4659-8619-81e2a9bc2b91,2026-06-23 13:37:38,97031.0,mobile,ok,0,92239,00229 01 44 09 20 60,222.183.75.241,BJ,35979,device_5355,"{'lat': 9.3781, 'lon': 2.1471999999999998}",2273.0
760cb904-a37b-46c0-9d6c-c73d8e974eaf,2026-06-25 16:12:04,37750.0,agence,erreur,99,40016,229 01 64 46 85 96,191.79.216.17,BJ,1911,device_1269,"{'lat': 11.6165, 'lon': 3.115}",
09bdbb41-aa8e-4cf3-843e-fc8f70eb29e1,2026-06-25 08:48:56,96999.0,en ligne,ok,0,23693,+229 01 20 74 64 08,58.206.70.123,BJ,37388,device_9224,"{'lat': 11.4563, 'lon': 1.5807}",
5066760a-597c-4dfb-b51d-ac5deaab002b,2026-06-25 03:02:15,4807047.0,en ligne,suspect,44,99719,00229 01 91 43 60 08,92.10.15.193,BJ,52018,device_7117,"{'lat': 7.0675, 'lon': 1.7945}",2739.0
52ef0232-803a-4d53-88e7-c8b274d251b8,2026-06-18 09:15:22,13062.0,mobile,ok,0,30903,00229 01 43 00 43 65,150.62.216.18,BJ,25314,device_5793,"{'lat': 10.2441, 'lon': 1.5186000000000002}",8327.0
e7c65c5e-5a9e-4f08-b555-e44782a41610,2026-06-18 03:19:48,830805.0,ATM,refusé,5,13385,936 26 759609,63.180.68.185,BJ,49742,device_7833,"{'lat': 9.6343, 'lon': 3.6669}",
48b4e339-448c-4022-bdaa-204378f84b36,2026-06-20 00:23:11,4069136.0,mobile,erreur,99,62774,388 31 833322,229.119.61.250,BJ,28343,device_3463,"{'lat': 11.4075, 'lon': 1.4654}",
